problem_id,slug,title,difficulty,acceptance,problem_url,source_keys,source_count,concepts,imported_at
48,rotate-image,Rotate Image,Medium,80.1%,https://leetcode.com/problems/rotate-image/,blind-curated-75;google-thirty-days;neetcode-150,3,Math & Geometry,2026-05-25
49,group-anagrams,Group Anagrams,Medium,72.6%,https://leetcode.com/problems/group-anagrams/,blind-curated-75;classic-3-topics-array-string;neetcode-150,3,Arrays & Hashing,2026-05-25
50,powx-n,"Pow(x, n)",Medium,,https://leetcode.com/problems/powx-n/,neetcode-150,1,Math & Geometry,2026-05-25
51,n-queens,N-Queens,Hard,,https://leetcode.com/problems/n-queens/,coding-plan-deep-work;neetcode-150,2,Backtracking,2026-05-25
53,maximum-subarray,Maximum Subarray,Medium,53.3%,https://leetcode.com/problems/maximum-subarray/,blind-curated-75;coding-plan-deep-work;google-thirty-days;classic-3-topics-array-string;neetcode-150,5,Greedy,2026-05-25
54,spiral-matrix,Spiral Matrix,Medium,56.8%,https://leetcode.com/problems/spiral-matrix/,blind-curated-75;google-thirty-days;neetcode-150,3,Math & Geometry,2026-05-25
55,jump-game,Jump Game,Medium,40.9%,https://leetcode.com/problems/jump-game/,blind-curated-75;google-thirty-days;neetcode-150,3,Greedy,2026-05-25
56,merge-intervals,Merge Intervals,Medium,51.8%,https://leetcode.com/problems/merge-intervals/,blind-curated-75;coding-plan-deep-work;google-thirty-days;classic-3-topics-array-string;neetcode-150,5,Intervals,2026-05-25
57,insert-interval,Insert Interval,Medium,45.2%,https://leetcode.com/problems/insert-interval/,blind-curated-75;coding-plan-deep-work;google-thirty-days;classic-3-topics-array-string;neetcode-150,5,Intervals,2026-05-25
61,rotate-list,Rotate List,Medium,42.6%,https://leetcode.com/problems/rotate-list/,google-thirty-days,1,,2026-05-17
62,unique-paths,Unique Paths,Medium,66.8%,https://leetcode.com/problems/unique-paths/,blind-curated-75;coding-plan-deep-work;classic-3-topics-dp;neetcode-150,4,2-D Dynamic Programming,2026-05-25
65,valid-number,Valid Number,Hard,23.0%,https://leetcode.com/problems/valid-number/,meta-thirty-days,1,,2026-05-17
66,plus-one,Plus One,Easy,,https://leetcode.com/problems/plus-one/,neetcode-150,1,Math & Geometry,2026-05-25
67,add-binary,Add Binary,Easy,58.0%,https://leetcode.com/problems/add-binary/,google-thirty-days,1,,2026-05-17
68,text-justification,Text Justification,Hard,51.1%,https://leetcode.com/problems/text-justification/,google-thirty-days;classic-3-topics-array-string,2,,2026-05-17
70,climbing-stairs,Climbing Stairs,Easy,54.1%,https://leetcode.com/problems/climbing-stairs/,blind-curated-75;google-thirty-days;classic-3-topics-dp;neetcode-150,4,1-D Dynamic Programming,2026-05-25
72,edit-distance,Edit Distance,Medium,,https://leetcode.com/problems/edit-distance/,coding-plan-deep-work;classic-3-topics-dp;neetcode-150,3,2-D Dynamic Programming,2026-05-25
73,set-matrix-zeroes,Set Matrix Zeroes,Medium,62.9%,https://leetcode.com/problems/set-matrix-zeroes/,blind-curated-75;meta-thirty-days;neetcode-150,3,Math & Geometry,2026-05-25
