source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,373,find-k-pairs-with-smallest-sums,Find K Pairs with Smallest Sums,Medium,41.9%,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,2026-05-17
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,632,smallest-range-covering-elements-from-k-lists,Smallest Range Covering Elements from K Lists,Hard,70.1%,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,2026-05-17
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,692,top-k-frequent-words,Top K Frequent Words,Medium,60.2%,https://leetcode.com/problems/top-k-frequent-words/,2026-05-17
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,1845,seat-reservation-manager,Seat Reservation Manager,Medium,67.2%,https://leetcode.com/problems/seat-reservation-manager/,2026-05-17
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,2182,construct-string-with-repeat-limit,Construct String With Repeat Limit,Medium,70.8%,https://leetcode.com/problems/construct-string-with-repeat-limit/,2026-05-17
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,2336,smallest-number-in-infinite-set,Smallest Number in Infinite Set,Medium,70.6%,https://leetcode.com/problems/smallest-number-in-infinite-set/,2026-05-17
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,2402,meeting-rooms-iii,Meeting Rooms III,Hard,51.5%,https://leetcode.com/problems/meeting-rooms-iii/,2026-05-17
licc-bonus-heaps,LICC Bonus: Heaps,problem-list,https://leetcode.com/problem-list/ajcklrpj/,2462,total-cost-to-hire-k-workers,Total Cost to Hire K Workers,Medium,43.6%,https://leetcode.com/problems/total-cost-to-hire-k-workers/,2026-05-17
